Objectid,Division,District_name,Dist_Code,"Confirmed_cases 
Upto 05 April","Confirmed_cases 
Upto 06 April","Confirmed_cases 
Upto 07 April",Confirmed_cases Upto 08 April,Confirmed_cases Upto 09 April,Confirmed_cases Upto 11 April,Confirmed_cases Upto 13 April,Confirmed_cases Upto 14 April,Confirmed_cases Upto 15 April,Confirmed_cases Upto 16 April,Confirmed_cases Upto 17 April,Confirmed_cases Upto 18 April,Confirmed_cases Upto 19 April,Confirmed_cases Upto 20 April,Confirmed_cases Upto 21 April,Confirmed_cases Upto 22 April,Confirmed_cases Upto 23 April,"Recovered_cases
Upto 23 April",Confirmed_cases Upto 24 April,Confirmed_cases Upto 25 April,Confirmed_cases Upto 26 April,"Recovered_cases
Upto 26 April",Confirmed_cases Upto 27 April,"Death_cases
Upto 27 April","Recovered_cases
Upto 27 April",Confirmed_cases Upto 28 April,"Death_cases
Upto 28 April","Recovered_cases
Upto 28 April",Confirmed_cases Upto 29 April,"Death_cases
Upto 29 April",Confirmed_cases Upto 30 April,"Death_cases
Upto 30 April",Confirmed_cases Upto 01 May,"Death_cases
Upto 01 May",Confirmed_cases Upto 02 May,"Death_cases
Upto 02 May",Confirmed_cases Upto 03 May,"Death_cases
Upto 03 May",Confirmed_cases Upto 04 May,"Death_cases
Upto 04 May",Confirmed_cases Upto 05 May,"Death_cases
Upto 05 May",Confirmed_cases Upto 06 May,"Death_cases
Upto 06 May",,,,,,,,,,,,
28,Dhaka,Kishoreganj,3048,0,0,0,1,1,10,10,17,17,33,33,54,77,146,146,146,,0,180,181,183,0,191,1,0,194,1,0,197,1,200,1,201,1,201,1,201,1,202,1,202,1,202,1,,,,,,,,,,,,
33,Dhaka,Madaripur,3054,11,11,11,11,11,13,19,19,19,23,23,25,25,25,26,27,28,9,28,29,30,9,36,2,9,38,2,9,38,2,39,2,39,2,46,2,46,2,47,2,48,2,53,2,,,,,,,,,,,,
35,Dhaka,Manikganj,3056,0,0,3,3,3,5,5,5,5,5,5,6,6,7,9,9,9,0,12,12,12,0,15,0,0,15,0,0,21,0,21,0,22,0,22,0,22,0,22,0,24,0,28,0,,,,,,,,,,,,
38,Dhaka,Munshiganj,3059,0,0,0,0,0,11,17,21,21,26,27,33,33,33,54,61,63,0,63,62,72,0,78,3,0,82,3,0,82,3,110,4,112,4,122,4,126,4,127,4,161,4,170,4,,,,,,,,,,,,
42,Dhaka,Narayanganj,3067,11,23,38,46,59,83,144,164,214,255,289,309,386,387,469,508,532,19,566,594,625,25,699,39,25,849,39,25,863,39,923,39,966,39,987,39,1007,40,1021,40,1055,40,1072,41,,,,,,,,,,,,
43,Dhaka,Narsingdi,3068,0,0,2,4,4,4,20,28,28,64,65,93,105,135,136,136,141,1,141,141,142,1,142,1,1,142,1,1,142,1,145,1,151,1,151,1,152,1,154,1,166,1,167,1,,,,,,,,,,,,
53,Dhaka,Rajbari,3082,0,0,0,1,1,6,6,6,6,7,7,7,7,8,10,9,11,0,11,12,14,0,14,0,0,14,0,0,14,0,17,0,19,0,19,0,19,0,19,0,22,0,23,0,,,,,,,,,,,,
58,Dhaka,Shariatpur,3086,1,1,1,1,1,1,1,5,5,6,6,7,7,8,8,11,11,0,11,14,22,0,22,1,0,24,1,0,24,1,30,1,30,1,39,1,35,1,40,1,44,1,54,1,,,,,,,,,,,,
63,Dhaka,Tangail,3093,0,0,0,2,2,2,7,7,9,9,9,9,10,10,13,15,16,0,21,22,23,0,24,2,0,27,2,0,28,2,29,3,29,3,29,3,29,3,30,3,30,3,30,3,,,,,,,,,,,,
1,Khulna,Bagerhat,4001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,,,,,,,,,,,,
10,Khulna,Chuadanga,4018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,1,8,8,8,1,8,0,1,8,0,1,8,0,9,0,9,0,9,0,9,0,9,0,10,0,15,0,,,,,,,,,,,,
22,Khulna,Jessore,4041,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,7,0,7,7,22,0,26,0,0,36,0,0,62,0,63,0,63,0,63,0,63,0,63,0,74,0,75,0,,,,,,,,,,,,
24,Khulna,Jhenaidah,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,27,0,33,0,,,,,,,,,,,,
27,Khulna,Khulna,4047,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,6,0,7,7,7,0,8,0,0,8,0,0,11,0,11,0,13,0,13,0,16,0,16,0,17,0,17,0,,,,,,,,,,,,
30,Khulna,Kushtia,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,4,4,0,10,0,0,10,0,0,13,0,15,0,16,0,16,0,16,0,16,0,16,0,18,0,,,,,,,,,,,,
34,Khulna,Magura,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,4,0,4,0,0,4,0,0,6,0,7,0,8,0,8,0,8,0,8,0,7,0,8,0,,,,,,,,,,,,
37,Khulna,Meherpur,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,2,1,0,2,1,0,2,1,2,1,2,1,2,1,2,1,2,1,3,1,4,1,,,,,,,,,,,,
41,Khulna,Narail,4065,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,7,7,0,7,7,10,0,13,0,0,13,0,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,,,,,,,,,,,,
57,Khulna,Satkhira,4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,3,0,4,0,,,,,,,,,,,,
21,Mymensingh,Jamalpur,4539,0,0,2,2,3,3,6,9,12,12,12,17,20,21,22,29,30,0,30,37,45,0,45,3,0,52,3,0,58,3,61,3,66,3,66,3,73,3,73,3,74,3,79,3,,,,,,,,,,,,
39,Mymensingh,Mymensingh,4561,0,0,0,0,4,5,5,7,7,9,18,19,21,33,40,63,68,0,68,87,92,0,108,2,0,117,2,0,125,2,143,2,145,2,145,2,150,2,166,3,169,3,198,3,,,,,,,,,,,,
46,Mymensingh,Netrakona,4572,0,0,0,0,0,1,1,2,4,6,7,12,14,14,18,22,22,0,22,25,25,0,25,0,0,27,0,0,29,0,29,0,32,0,32,0,41,0,51,0,52,0,62,0,,,,,,,,,,,,
59,Mymensingh,Sherpur,4589,0,0,1,1,2,2,2,3,3,5,5,11,11,13,19,19,19,0,19,19,19,0,23,0,0,23,0,0,25,0,25,0,26,0,26,0,26,0,26,0,26,0,27,0,,,,,,,,,,,,
6,Rajshahi,Bogra,5010,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,10,0,10,11,17,0,17,0,0,17,0,0,18,0,19,0,19,0,19,0,19,0,19,0,18,0,18,0,,,,,,,,,,,,
25,Rajshahi,Joypurhat,5038,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,0,4,4,8,0,10,0,0,21,1,0,28,1,32,1,33,1,33,1,33,1,33,1,34,1,34,1,,,,,,,,,,,,
40,Rajshahi,Naogaon,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,1,0,0,1,0,0,15,0,15,0,15,0,16,0,16,0,16,0,17,0,17,0,,,,,,,,,,,,
44,Rajshahi,Natore,5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,9,0,9,0,9,0,9,0,10,0,11,0,,,,,,,,,,,,
45,Rajshahi,Nawabganj,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,2,0,0,2,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,,,,,,,,,,,,
49,Rajshahi,Pabna,5076,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,0,3,3,2,0,2,0,0,8,0,0,8,0,10,0,10,1,10,1,10,1,11,1,15,1,16,1,,,,,,,,,,,,
54,Rajshahi,Rajshahi,5081,0,0,0,0,0,0,2,3,4,3,4,4,4,5,9,9,9,0,9,10,9,0,10,1,0,10,1,0,19,2,19,2,20,2,20,2,21,2,21,2,25,2,26,2,,,,,,,,,,,,
60,Rajshahi,Sirajganj,5088,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,2,2,0,2,0,0,3,0,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,0,,,,,,,,,,,,
14,Rangpur,Dinajpur,5527,0,0,0,0,0,0,0,0,7,8,8,9,10,11,11,13,13,0,13,13,14,0,14,0,0,16,0,0,18,0,20,0,21,0,21,0,21,0,20,0,21,1,29,1,,,,,,,,,,,,
17,Rangpur,Gaibandha,5532,5,5,5,5,8,5,6,8,12,12,12,12,12,13,13,13,14,4,14,16,16,4,17,0,4,19,0,4,20,0,21,0,21,0,24,0,25,0,23,0,24,0,24,0,,,,,,,,,,,,
29,Rangpur,Kurigram,5549,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,4,0,5,3,3,0,6,0,0,6,0,0,7,0,7,0,8,0,15,0,19,0,22,0,22,0,22,0,,,,,,,,,,,,
32,Rangpur,Lalmonirhat,5552,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,0,0,2,0,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,,,,,,,,,,,,
47,Rangpur,Nilphamari,5573,0,0,0,1,1,2,3,4,6,6,6,9,9,9,9,10,10,0,10,10,10,0,10,0,0,11,0,0,13,0,13,0,15,0,16,0,16,0,23,0,25,0,31,0,,,,,,,,,,,,
50,Rangpur,Panchagarh,5577,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,3,3,4,0,4,0,0,7,0,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,,,,,,,,,,,,
56,Rangpur,Rangpur,5585,1,1,1,1,2,2,2,2,2,3,4,4,5,6,7,9,10,0,15,18,20,0,21,0,0,28,0,0,28,0,31,0,38,0,45,0,50,1,62,1,75,1,82,1,,,,,,,,,,,,
64,Rangpur,Thakurgaon,5594,0,0,0,0,0,0,3,3,3,3,3,5,6,6,6,8,8,0,8,7,7,0,8,0,0,15,0,0,16,0,16,0,17,0,17,0,17,0,19,0,19,0,20,0,,,,,,,,,,,,
20,Sylhet,Habiganj,6036,0,0,0,0,0,1,1,2,1,1,1,1,1,1,11,13,18,0,21,41,47,0,48,0,0,48,0,0,52,0,53,0,55,0,67,0,67,0,69,0,69,0,70,0,,,,,,,,,,,,
36,Sylhet,Maulvibazar,6058,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,0,4,4,6,0,12,2,0,12,2,0,12,2,12,2,12,2,17,2,17,2,19,3,21,3,29,3,,,,,,,,,,,,
61,Sylhet,Sunamganj,6090,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,0,13,13,14,0,15,0,0,26,0,0,28,0,28,0,29,0,33,0,33,0,33,0,35,0,35,0,,,,,,,,,,,,
62,Sylhet,Sylhet,6091,0,0,0,1,1,1,1,1,1,3,3,3,3,4,4,4,6,0,11,11,12,0,14,2,0,16,2,0,16,2,18,2,18,2,18,2,18,2,18,2,24,2,27,2,,,,,,,,,,,,
,,,,88,110,164,218,330,470,754,938,1091,1356,1596,1863,2149,2604,2840,3230,3412,108,4071,4326,4782,121,5199,151,122,5780,155,122,6388,162,6897,168,7258,170,7692,175,7958,177,8342,182,8993,183,9675,186,0,0,0,0,0,0,0,0,0,0,0,0
